96;Jean-Kevin Augustin;26;NULL;62;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmoMViwvLuqYEJPwN0qsXwfYhfOktphLrj-0uXtgNhfFVQqGnmUbt1xmcYjCg&s
97;Jean-Philippe Mateta;24;NULL;NULL;56;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEjps_HARs3m8XkczE9QOxnvywMdTeoM0CLdczOuOSuxIgIZepDAORGyjQKmU&s
98;Jermain Defoe;28;70;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiGv9ng9Y1RZ9zO90sCMchrSlX9k8p41whq8J3qKLCbj2WwwANA6ORZKu1qA&s
99;Jhon Cordoba;31;NULL;NULL;NULL;16;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAy2cfSzXrQgy8SFMjkijw444EfB9YUK1KlfGPUIc3qBHkrgb8HK-gTQAqg0o&s
100;Joao Pedro;33;NULL;NULL;NULL;19;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLz6cvv930Btg_knot2KPBGtnhksrloX2d9SsB7Z7bWN1Dw6H13N7--Fa-zg&s
101;Jonathan Bamba;31;NULL;NULL;52;NULL;52;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUCVFECNENGE6fvTvELrGJIZmfnZ_6dn6tr8T6JRg1rFY2ULlW5k4jUIZVOw&s
102;Jorge Molina;27;NULL;NULL;36;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQH-kgg09vrlt3bW_wClcRvTRdn3WBdKIE3MdfNL93HKCG9d7XaHvtYpgqsecY&s
103;Jose CallejOn;32;31;31;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7w_aLnebF30lKsMwao7kxuCIAMJM447n61-gCaDldkWP9gy02MeEinol90A&s
104;Joselu;27;NULL;NULL;NULL;2;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkL02Z6cEcR9crydu8DAkRcZ2cw_JDjlVYLJXK41TNxR-UBjicIRY5ajBbeGg&s
105;Joshua King;35;15;NULL;15;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy6ppman2sE3vzgKjrU70R3w5Z4AfrtX51gpe4hudI1RRGhKapwB0N2Wp0uJ0&s
