Column1;Column2;Column3
Julian Brandt;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1nddh_xD_7KIzYf8Yqbad-vBgoOAEWolvLWYYpxV-UN-j8BW0b7w3TjNSa6I&s
Kai Havertz;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSg5dC7hqZU81EniAuST65G9vAL2W1eHpRli3zxyReyFt07CJkF7nw9kWj0Cw&s
Karim Benzema;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSijKuU1sxF9_YCYsNHYtIR0C3_QM33BXgNSWxn54FXCQw843XO34lQ8IycrRE&s
Kasper Dolberg;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC5Ke4a1N52m0XuxqduvLsMAqA0daZEA4I0RB4K393XyWe0rgPKSQ04cazONw&s
Keita Balde;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROg8GKmNhpge6-eE0RWzlzu4jDKRuvtHAyCSzG1oWs8doMhmT7eqigzmpydQ&s
Kevin De Bruyne;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtOFfV3imHcwjRJym4--HepFuWyNILxJhNWYoUNvNa7e0KGvM-dBLFFeeJpQ&s
Kevin Gameiro;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPRJ9gZ9l423wD-zhVrIkuYqw-RZVaID5Hfey-4G8G9qbPHtCMk6N5PNKH8kk&s
Kevin Lasagna;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8reiuxMNQD5_h70598YQASa4_NXgqID-1iEropiqvW-GLPndpHWW7yg3vJWw&s
Kevin Volland;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRY8rzj9NhhNrnQve7Tr1Oday5mhgKHUw60q2iWuVG9C42waRba9yYJ1VUapDU&s
Krzysztof Piatek;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxSie9qzwU0eiPFAgBforzaxhsivoT5M93kEWUT1O5EYEC6qk07RuYYSBf_ow&s
Kylian Mbappe-Lottin;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGZnTLYcwDZilmYJuuhuCZvOPLWtt7icvE2zBDxSg2aAGOfxcK_8cTXXlcyQ&s
Lars Stindl;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqzUgbmRRR8QgJHKIBSPsAweNjj7S0d25hD5M0GObpNt3shE5jfCFYZg48AQ&s
Lautaro Martrinez;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzm8DNV5lnoIrLzHNCL2vqyI1Q8cE2a1taBgPG2stBgHt_0bnHKahgma5RuA&s
Lebo Mothiba;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlaQWZ3N6cwVX1hKrZA66uCAdrZWZmohMHG4dzYZM2NoJKQiykbBesR7gpPg&s
Leon Bailey;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsvMadt9EmEoBdDrdv0cMdxSYIN4na2DHP9_21zDNYmSqmUaMRzSgrtIiAOQ&s
Leonardo Pavoletti;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV70DSjedEXopVbZpa1pSs75_T3XV9nn2C0HBdVp-mGAdb0CKTbXAIqsjvJQ&s
Lionel Messi;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvDoIyiIv-P4t65KvM0V40UTExXUOlvEzzcHz0kA_mFGIobAcFmtOkiBccJg&s
